trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.4, 'e': 0.07499999999999962}",20,13,15.529357188128877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.06999999999999962}",20,4,23.855133852736216,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.06499999999999961}",20,5,27.517074600999283,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.059999999999999616}",30,11,33.695800843256094,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.05499999999999962}",25,15,18.509458825114,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.04999999999999962}",25,14,22.962005227720862,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.044999999999999624}",25,18,-29.673697121327713,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.4, 'e': 0.039999999999999626}",25,17,1.7359667061976163,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.03499999999999963}",25,7,34.701990174722596,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.029999999999999628}",35,22,20.16072699575327,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.4, 'e': 0.024999999999999627}",20,14,7.580707268506801,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.019999999999999626}",25,7,31.442879201983924,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.014999999999999625}",25,13,24.48654374944247,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.009999999999999624}",20,0,25.985252979817073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,15.105237558357544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,22,15.877715537714778,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,22,18.331085360242703,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,20.976643109885153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,19.26733759597905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,15.179416806860074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,24,21.993062603582835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,19,11.620996567869357,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,10,34.893855544769984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,21,15.834424385267164,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,8,23.950919940678023,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,10,13.210432164705807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,9,18.967201148766108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,19,17.629822896150174,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,8,22.499972735370285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,28.950642194810737,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,15,8.499446006464124,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,18,13.263171115356059,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,7,26.55572675575259,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,12,18.43659257738176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
