trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,0,-85.16390478360384,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,14,11.71225136167642,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,4,-0.641409140472422,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,1,-28.417766962045995,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,0,-38.77366257008419,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-54.01230661433172,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",30,0,7.978163175815647,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,0,-45.08783989093517,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,0,-24.93401066187918,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,20.14829966153796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",30,0,-11.52443859919767,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,0,-31.20263048634429,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,0,-27.76177705437077,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",35,16,18.567036998944694,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,0,-64.99393250397843,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,0,-70.11444720196315,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,21.47455738140893,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",30,10,-14.806190398340448,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,0,-71.59195095381253,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,0,23.579681632395562,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,0,19.18711884764848,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,5.168626302546306,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,0,-63.624231610281655,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,0,-17.721723848861924,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,0,-16.775346860504925,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,0,-31.34856850408134,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,0,13.937779445894705,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,20,6.914559093788435,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,7,17.963091508906594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,0,-13.228260340326305,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,0,-12.2121912165095,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,0,29.783121669848985,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,0,-8.069992137589399,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,0,-18.91475684996956,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
